longitude,latitude
101.4511,3.2151
101.4734,3.1563
101.4916,3.2376
101.4602,3.2513
101.4915,3.206
101.4557,3.2513
101.478,3.1925
101.4959,3.1563
101.4869,3.1518
101.451,3.1745
101.4871,3.2196
101.4555,3.188
101.4554,3.1564
101.4421,3.2016
101.4826,3.2422
101.4827,3.2738
101.4374,3.1248
101.4511,3.2197
101.4643,3.1157
101.451,3.1835
101.478,3.1834
101.4422,3.2513
101.4511,3.2106
101.4869,3.1473
101.4557,3.2468
101.4915,3.2105
101.4917,3.2738
101.4419,3.1203
101.4913,3.1292
101.4466,3.2016
101.4556,3.2377
101.4464,3.1428
101.4961,3.2376
101.469,3.1789
101.4467,3.2513
101.4962,3.2738
101.4736,3.2196
101.4644,3.1473
101.4556,3.2106
101.4779,3.1563
101.4602,3.2468
101.4961,3.2467
101.442,3.1564
101.3249,3.0889
101.3249,3.1024
101.3249,3.0934
101.3249,3.0708
101.3249,3.0798
101.3249,3.0753
101.3249,3.0979
101.3339,3.0979
101.3248,3.0527
101.3248,3.0256
101.3247,3.0166
101.3248,3.0482
101.3248,3.0618
101.3249,3.0844
101.3247,3.0075
101.3248,3.0392
101.3249,3.107
101.3247,2.9985
101.3292,2.9849
101.3248,3.0572
101.3248,3.0437
101.3249,3.0663
101.3247,2.9714
101.3339,3.0708
101.3337,3.0075
101.3293,3.0482
101.3338,3.0617
101.3339,3.1069
101.3336,2.9713
101.3292,2.9759
101.3247,2.9849
101.3246,2.9443
101.3337,2.9985
101.3247,2.9894
101.3339,3.0889
101.3429,3.1069
101.3246,2.9623
101.3336,2.9533
101.3247,2.9804
101.3247,2.994
101.3337,2.9894
101.3246,2.9668
101.3293,3.0392
101.3338,3.0346
101.3339,3.0798
101.3336,2.9442
101.3426,2.9713
101.3293,3.0211
101.3246,2.9533
101.3427,2.9894
101.3426,2.9623
101.3427,3.0075
101.3428,3.0436
101.3338,3.0527
101.3293,3.0527
101.3336,2.9623
101.3427,2.9984
101.3292,3.0166
101.3427,3.0165
101.3427,2.9804
101.3384,3.0889
101.4913,3.1247
101.4464,3.1248
101.4601,3.2196
101.4599,3.1247
101.4825,3.2015
101.3656,3.2018
101.4687,3.0388
101.4688,3.0976
101.4236,2.9712
101.3965,2.9531
101.3878,3.0707
101.4775,2.9891
101.4328,3.0706
101.4326,2.9802
101.4776,3.0253
101.4235,2.9621
101.4326,3.0073
101.4688,3.0886
101.3967,3.0345
101.4326,2.9983
101.4686,3.0343
101.4417,3.0434
101.4326,2.9892
101.4328,3.1067
101.3966,2.9712
101.4417,3.0344
101.4687,3.0705
101.4685,2.9711
101.4236,2.9802
101.4057,3.0435
101.4416,2.9982
101.4056,2.9802
101.3967,3.0435
101.4148,3.0706
101.4325,2.9711
101.4328,3.0796
101.4597,3.0705
101.4327,3.0254
101.4416,2.9892
101.3967,3.0164
101.4778,3.1066
101.4237,3.0435
101.4684,2.9439
101.4284,3.1248
101.4325,2.944
101.3968,3.0706
101.3791,3.1837
101.361,3.125
101.3521,3.1747
101.361,3.1566
101.3613,3.2606
101.3523,3.2651
101.3747,3.2379
101.361,3.1521
101.3748,3.2876
101.3566,3.1837
101.3522,3.2425
101.3476,3.1928
101.3565,3.1656
101.3657,3.247
101.3657,3.2289
101.3837,3.2515
101.3656,3.1973
101.3566,3.2018
101.3792,3.2379
101.352,3.125
101.3568,3.2832
101.3746,3.1972
101.397,3.143
101.3655,3.1611
101.3658,3.2741
101.3745,3.152
101.3702,3.256
101.3612,3.2154
101.3655,3.143
101.352,3.1521
101.3701,3.2063
101.379,3.1475
101.3838,3.2741
101.3656,3.1747
101.3609,3.1204
101.3834,3.1294
101.3745,3.1656
101.406,3.152
101.388,3.1656
101.3701,3.2018
101.361,3.1611
101.3748,3.2831
101.4107,3.265
101.406,3.1565
101.379,3.134
101.3657,3.2379
101.3747,3.256
101.4062,3.2288
101.3836,3.2198
101.3882,3.2605
101.3522,3.2244
101.3656,3.1927
101.3792,3.2244
101.3611,3.1747
101.3791,3.2063
101.4062,3.2424
101.4061,3.1927
101.388,3.1475
101.379,3.1385
101.388,3.143
101.3881,3.1972
101.3838,3.2831
101.3702,3.2515
101.4104,3.1158
101.4149,3.1294
101.3792,3.256
101.3881,3.2153
101.3476,3.2018
101.3747,3.2334
101.4062,3.2559
101.3612,3.247
101.406,3.1475
101.3564,3.1159
101.4062,3.2333
101.3611,3.2063
101.3791,3.1927
101.3656,3.1837
101.3927,3.2469
101.3611,3.1928
101.3699,3.1159
101.4061,3.2243
101.3746,3.2153
101.3654,3.1159
101.3565,3.1566
101.352,3.1657
101.3703,3.2786
101.3793,3.2786
101.3567,3.2199
101.3748,3.2741
101.4014,3.1158
101.4374,3.1157
101.4375,3.1835
101.4374,3.1338
101.3924,3.1249
101.3835,3.1339
101.4152,3.2604
101.4195,3.1881
101.4016,3.2198
101.4376,3.2152
101.4239,3.1429
101.4061,3.2017
101.4016,3.1881
101.4196,3.2288
101.3924,3.1204
101.4195,3.1836
101.4198,3.2875
101.3973,3.2695
101.3972,3.2379
101.3926,3.2017
101.4243,3.2785
101.397,3.1791
101.4105,3.1655
101.3925,3.1475
101.3837,3.2334
101.4285,3.179
101.4198,3.2785
101.4015,3.1746
101.4239,3.1248
101.4329,3.1248
101.4287,3.2694
101.4152,3.2469
101.4285,3.1745
101.4241,3.2062
101.4197,3.2514
101.4239,3.1474
101.4151,3.2152
101.4419,3.1383
101.4018,3.2695
101.4378,3.283
101.4421,3.2287
101.4333,3.2875
101.4376,3.2107
101.4419,3.1157
101.4332,3.2604
101.4376,3.1971
101.4376,3.2333
101.4107,3.2559
101.4376,3.2061
101.3972,3.265
101.424,3.161
101.4197,3.2604
101.4288,3.283
101.4646,3.2151
101.4419,3.1429
101.4375,3.1881
101.4647,3.2603
101.433,3.1745
101.4239,3.1384
101.4242,3.2514
101.4647,3.2829
101.4647,3.2784
101.4329,3.1474
101.4239,3.1293
101.4242,3.2423
101.4377,3.2604
101.4421,3.2152
101.433,3.161
101.4286,3.2016
101.4602,3.2694
101.4735,3.197
101.469,3.1925
101.4421,3.2332
101.4689,3.1338
101.4197,3.2649
101.4285,3.1881
101.4647,3.2693
101.442,3.188
101.4689,3.1428
101.4737,3.2648
101.4421,3.2378
101.4736,3.2241
101.4737,3.2874
101.4331,3.2287
101.4823,3.1247
101.4692,3.2738
101.4735,3.2015
101.4646,3.2196
101.4647,3.2648
101.4241,3.1926
101.3973,3.2831
101.4691,3.2151
101.4016,3.1972
101.4782,3.2783
101.478,3.2015
101.4824,3.1654
101.4737,3.2558
101.4688,3.1157
101.4645,3.1744
101.4646,3.2106
101.469,3.197
101.4735,3.1835
101.442,3.1971
101.4646,3.2422
101.4647,3.2558
101.4688,3.1202
101.4374,3.1203
101.469,3.1699
101.4332,3.2649
101.4285,3.1836
101.406,3.1836
101.4105,3.1746
101.4736,3.2106
101.406,3.1655
101.4106,3.1881
101.4018,3.2876
101.469,3.188
101.4152,3.2423
101.4375,3.1609
101.3926,3.2198
101.4105,3.1474
101.3746,3.2108
101.4374,3.1383
101.4467,3.2558
101.3973,3.2876
101.4827,3.2603
101.4153,3.2785
101.3745,3.1566
101.4152,3.2378
101.4194,3.1339
101.442,3.1745
101.4779,3.1292
101.4914,3.1427
101.4691,3.2332
101.4602,3.2603
101.4647,3.2874
101.478,3.1789
101.4149,3.1384
101.4737,3.2693
101.4646,3.2467
101.4735,3.188
101.4737,3.2738
101.487,3.1744
101.4151,3.1926
101.4734,3.1292
101.4781,3.2241
101.4734,3.1654
101.4153,3.283
101.4736,3.2332
101.433,3.1564
